disasterNumber,state,county,ia_totalApprovedIhp,denial_multiplier,d_i,population,ia_validRegistrations,n_i,fema_per_capita,fema_per_applicant,x_i,pct_need_met,per_applicant_alloc
4337,FL,Brevard County,25854293.06,1.4285714285714286,36934704.37142857,588165.0,63790.0,579.0046146955411,43.95755112935996,405.3032302868788,3693470.4371428574,10.0,57.90046146955412
4337,FL,Broward County,106248889.12,1.4285714285714286,151784127.31428573,1935945.0,305899.0,496.19033509192815,54.882183698400524,347.3332345643497,15178412.731428573,10.0,49.61903350919282
4337,FL,Charlotte County,5253544.180000001,1.4285714285714286,7505063.114285715,181998.0,14567.0,515.209934391825,28.86594457081946,360.6469540742775,750506.3114285716,10.0,51.520993439182504
4337,FL,Citrus County,4648499.88,1.4285714285714286,6640714.114285714,145619.0,14247.0,466.11315464909904,31.922344474278766,326.27920825436934,664071.4114285714,10.0,46.61131546490991
4337,FL,Clay County,9960396.66,1.4285714285714286,14229138.085714286,212381.0,15679.0,907.5284192687216,46.89871815275378,635.2698934881051,1422913.8085714288,10.0,90.75284192687216
4337,FL,Collier County,35752289.04,1.4285714285714286,51074698.62857143,373286.0,71866.0,710.6934938437012,95.77720310967996,497.48544569059084,5107469.862857143,10.0,71.06934938437013
4337,FL,Columbia County,2944741.38,1.4285714285714286,4206773.4,70051.0,8073.0,521.0917131178002,42.03710696492556,364.76419918246006,420677.3400000001,10.0,52.10917131178002
4337,FL,DeSoto County,3316208.31,1.4285714285714286,4737440.442857144,37159.0,4445.0,1065.7908757833843,89.24374471864151,746.053613048369,473744.04428571445,10.0,106.57908757833846
4337,FL,Dixie County,831502.97,1.4285714285714286,1187861.3857142858,16609.0,1922.0,618.0340196224172,50.063397555542174,432.62381373569195,118786.13857142859,10.0,61.80340196224172
4337,FL,Duval County,44447334.46,1.4285714285714286,63496192.08571429,939167.0,111344.0,570.2704419251535,47.326337552320304,399.18930934760743,6349619.208571429,10.0,57.027044192515355
4337,FL,Flagler County,5244374.3,1.4285714285714286,7491963.285714285,110316.0,9083.0,824.8335666315409,47.539561804271365,577.3834966420786,749196.3285714285,10.0,82.48335666315408
4337,FL,Gilchrist County,560633.03,1.4285714285714286,800904.3285714287,17899.0,1565.0,511.75995435874034,31.32203083971172,358.2319680511182,80090.43285714288,10.000000000000002,51.17599543587404
4337,FL,Glades County,1054396.8199999998,1.4285714285714286,1506281.1714285712,13591.0,1754.0,858.7691969376119,77.58051798984621,601.1384378563283,150628.11714285714,10.0,85.8769196937612
4337,FL,Hamilton County,183255.03,1.4285714285714286,261792.9,14397.0,619.0,422.9287560581583,12.728695561575329,296.0501292407108,26179.29,10.0,42.29287560581583
4337,FL,Hardee County,2688152.7800000003,1.4285714285714286,3840218.2571428576,27172.0,4057.0,946.5659988027749,98.930987045488,662.5961991619424,384021.8257142858,10.0,94.65659988027748
4337,FL,Hendry County,4610569.83,1.4285714285714286,6586528.328571429,41074.0,8124.0,810.7494249841739,112.25032453620295,567.5245974889217,658652.8328571429,10.0,81.0749424984174
4337,FL,Hernando County,6004441.720000001,1.4285714285714286,8577773.885714287,186899.0,15078.0,568.8933469766738,32.126665846259215,398.2253428836716,857777.3885714287,10.0,56.88933469766738
4337,FL,Highlands County,9852700.96,1.4285714285714286,14075287.085714288,103828.0,23431.0,600.7121798350172,94.8944500520091,420.498525884512,1407528.708571429,10.0,60.071217983501725
4337,FL,Hillsborough County,39167877.73,1.4285714285714286,55954111.04285714,1428960.0,129264.0,432.8669315730377,27.410058874986003,303.00685210112636,5595411.104285714,10.0,43.286693157303766
4337,FL,Indian River County,4102388.53,1.4285714285714286,5860555.042857143,154260.0,11238.0,521.4944868176849,26.593987618306752,365.04614077237943,586055.5042857144,10.0,52.1494486817685
4337,FL,Lafayette County,325671.86,1.4285714285714286,465245.5142857143,8603.0,971.0,479.1405914373988,37.855615482971054,335.39841400617917,46524.55142857143,10.0,47.914059143739884
4337,FL,Lake County,11726644.63,1.4285714285714286,16752349.471428571,345848.0,38491.0,435.22770183753534,33.9069320337258,304.65939128627474,1675234.9471428571,10.0,43.52277018375353
4337,FL,Lee County,51471509.74,1.4285714285714286,73530728.2,741188.0,125234.0,587.1466870019324,69.44460749499453,411.0026809013527,7353072.82,10.0,58.71466870019324
4337,FL,Levy County,1285485.24,1.4285714285714286,1836407.4857142856,40339.0,4283.0,428.7666322003936,31.86705768611021,300.1366425402755,183640.7485714286,10.000000000000002,42.87666322003936
4337,FL,Manatee County,10399445.82,1.4285714285714286,14856351.171428572,385458.0,30821.0,482.0204137253357,26.979452547359244,337.414289607735,1485635.1171428573,10.0,48.20204137253357
4337,FL,Marion County,18957889.65,1.4285714285714286,27082699.5,353953.0,48635.0,556.8561632569138,53.56047172929739,389.79931427983956,2708269.95,10.0,55.68561632569138
4337,FL,Martin County,2608734.09,1.4285714285714286,3726762.9857142856,159716.0,8219.0,453.432654302748,16.33358016729695,317.40285801192357,372676.2985714286,10.0,45.3432654302748
4337,FL,Miami-Dade County,223299698.62,1.4285714285714286,318999569.4571429,2709126.0,596034.0,535.2036451899437,82.42499559636576,374.64255163296053,31899956.94571429,10.0,53.52036451899437
