disasterNumber,disaster_label,stateAbbreviation,county,named_projectAmount,distributed_statewide_amt,adjusted_projectAmount,named_totalObligated,distributed_statewide_obl,adjusted_totalObligated,ia_validRegistrations,ia_totalApprovedIhp,ia_adjustedNeed,denial_multiplier,combined_need,combined_fema_actual
4336,Irma – Puerto Rico,PR,Guaynabo,688368.4,399618.84552325046,1087987.2455232504,573584.24,318133.52992807585,891717.7699280758,0.0,0.0,0.0,0.0,1087987.2455232504,891717.7699280758
4336,Irma – Puerto Rico,PR,Gurabo,331740.80000000005,192585.64964481164,524326.4496448117,272997.78,153315.97401211885,426313.7540121189,0.0,0.0,0.0,0.0,524326.4496448117,426313.7540121189
4336,Irma – Puerto Rico,PR,Hatillo,17479.48,10147.371113994695,27626.851113994693,13606.93,8078.245128200543,21685.175128200543,0.0,0.0,0.0,0.0,27626.851113994693,21685.175128200543
4336,Irma – Puerto Rico,PR,Jayuya,112697.84,65424.53243606765,178122.37243606764,85011.34999999999,52083.973718824825,137095.32371882483,0.0,0.0,0.0,0.0,178122.37243606764,137095.32371882483
4336,Irma – Puerto Rico,PR,Juncos,187628.84,108924.26268792506,296553.10268792504,152416.51,86713.77882179098,239130.288821791,0.0,0.0,0.0,0.0,296553.10268792504,239130.288821791
4336,Irma – Puerto Rico,PR,Las Piedras,149553.66999999998,86820.4655372983,236374.13553729828,126545.41,69117.11367168883,195662.5236716888,0.0,0.0,0.0,0.0,236374.13553729828,195662.5236716888
4336,Irma – Puerto Rico,PR,Loiza,182654.84000000003,106036.70402365076,288691.5440236508,154855.85,84415.01528490835,239270.8652849084,917.0,1357502.2599999998,3393755.6499999994,2.5,3682447.19402365,1596773.125284908
4336,Irma – Puerto Rico,PR,Luquillo,283645.98,164665.14015592667,448311.1201559267,222734.49,131088.66831671586,353823.15831671585,407.0,458914.2100000001,1147285.5250000001,2.5,1595596.6451559267,812737.3683167159
4336,Irma – Puerto Rico,PR,Naguabo,250826.69,145612.54160449293,396439.2316044929,199503.37,115921.03921370476,315424.4092137048,0.0,0.0,0.0,0.0,396439.2316044929,315424.4092137048
4336,Irma – Puerto Rico,PR,Orocovis,83736.05,48611.33025524875,132347.38025524875,63006.89,38699.111070080864,101706.00107008086,0.0,0.0,0.0,0.0,132347.38025524875,101706.00107008086
4336,Irma – Puerto Rico,PR,Patillas,65354.8,37940.45416001509,103295.25416001509,54226.49,30204.10759956937,84430.59759956937,0.0,0.0,0.0,0.0,103295.25416001509,84430.59759956937
4336,Irma – Puerto Rico,PR,Quebradillas,51467.33,29878.35437647073,81345.68437647073,44071.07,23785.93115092609,67857.0011509261,0.0,0.0,0.0,0.0,81345.68437647073,67857.0011509261
4336,Irma – Puerto Rico,PR,Salinas,23714.75,13767.135471169948,37481.885471169946,18068.38,10959.912059969394,29028.2920599694,0.0,0.0,0.0,0.0,37481.885471169946,29028.2920599694
4336,Irma – Puerto Rico,PR,San Juan,3790003.08,2200212.3504785565,5990215.430478556,2952395.13,1751572.3532321928,4703967.483232193,0.0,0.0,0.0,0.0,5990215.430478556,4703967.483232193
4336,Irma – Puerto Rico,PR,Utuado,40005.52,23224.42418472043,63229.94418472043,30004.14,18488.787826704764,48492.92782670476,0.0,0.0,0.0,0.0,63229.94418472043,48492.92782670476
4336,Irma – Puerto Rico,PR,Vega Baja,149468.94,86771.27718876112,236240.2171887611,128203.26,69077.9552007439,197281.2152007439,703.0,1264283.69,3160709.2249999996,2.5,3396949.4421887607,1461564.9052007438
4336,Irma – Puerto Rico,PR,Vieques,92342.85,53607.84008871803,145950.69008871802,72397.82,42676.79462642216,115074.61462642216,349.0,2472271.59,6180678.975,2.5,6326629.665088718,2587346.204626422
4336,Irma – Puerto Rico,PR,Yauco,190394.53,110529.83006271331,300924.3600627133,142795.9,87991.9588230618,230787.8588230618,0.0,0.0,0.0,0.0,300924.3600627133,230787.8588230618
4337,Irma – Florida,FL,Alachua County,17603450.62,3729491.354608072,21332941.97460807,16106684.23,3517319.707385829,19624003.93738583,21843.0,7596709.25,10852441.785714285,1.4285714285714286,32185383.760322355,27220713.18738583
4337,Irma – Florida,FL,Baker County,1367164.07,289649.26760454563,1656813.3376045458,1263911.36,273171.0521105105,1537082.4121105105,2876.0,1214777.68,1735396.6857142856,1.4285714285714286,3392210.0233188313,2751860.0921105104
4337,Irma – Florida,FL,Bay County,72764.98,15416.089134246637,88181.06913424663,71990.06,14539.064169087076,86529.12416908707,0.0,0.0,0.0,0.0,88181.06913424663,86529.12416908707
4337,Irma – Florida,FL,Bradford County,1311353.71,277825.20767387026,1589178.9176738702,1204159.13,262019.6657521297,1466178.7957521295,3531.0,2915070.87,4164386.9571428574,1.4285714285714286,5753565.874816728,4381249.66575213
4337,Irma – Florida,FL,Brevard County,52691874.0,11163373.180814354,63855247.18081436,48561672.02,10528286.234332103,59089958.25433211,63790.0,25854293.06,36934704.37142857,1.4285714285714286,100789951.55224293,84944251.31433211
4337,Irma – Florida,FL,Broward County,196759626.04,41685766.051934265,238445392.09193423,181817994.95,39314252.93982265,221132247.88982263,305899.0,106248889.12,151784127.31428573,1.4285714285714286,390229519.40621996,327381137.0098226
4337,Irma – Florida,FL,Calhoun County,59431.1,12591.15490647184,72022.25490647183,58519.31,11874.841119167915,70394.15111916792,0.0,0.0,0.0,0.0,72022.25490647183,70394.15111916792
4337,Irma – Florida,FL,Charlotte County,47444144.41,10051581.943987744,57495726.35398774,42904535.13,9479745.064513505,52384280.19451351,14567.0,5253544.180000001,7505063.114285715,1.4285714285714286,65000789.46827345,57637824.37451351
4337,Irma – Florida,FL,Citrus County,3665212.25,776516.9280872841,4441729.178087284,3387691.43,732340.6959786703,4120032.12597867,14247.0,4648499.88,6640714.114285714,1.4285714285714286,11082443.292372998,8768532.00597867
4337,Irma – Florida,FL,Clay County,29750558.17,6302994.332470228,36053552.50247023,27148791.65,5944415.490800489,33093207.140800487,15679.0,9960396.66,14229138.085714286,1.4285714285714286,50282690.58818452,43053603.80080049
4337,Irma – Florida,FL,Collier County,131375031.9,27833295.656576768,159208327.55657676,120848454.13,26249852.86892076,147098306.99892074,71866.0,35752289.04,51074698.62857143,1.4285714285714286,210283026.18514818,182850596.03892073
4337,Irma – Florida,FL,Columbia County,960884.64,203574.3465877197,1164458.9865877198,898117.44,191992.95375399172,1090110.3937539917,8073.0,2944741.38,4206773.4,1.4285714285714286,5371232.38658772,4034851.7737539914
4337,Irma – Florida,FL,DeSoto County,5434632.73,1151388.7941366043,6586021.524136604,4944564.3100000005,1085886.0127068113,6030450.322706812,4445.0,3316208.31,4737440.4428571435,1.4285714285714286,11323461.966993747,9346658.632706812
4337,Irma – Florida,FL,Dixie County,403308.97,85445.59525971426,488754.5652597143,379274.23,80584.57509090794,459858.8050909079,1922.0,831502.97,1187861.3857142858,1.4285714285714286,1676615.9509740002,1291361.775090908
4337,Irma – Florida,FL,Duval County,100080763.97,21203248.84285022,121284012.81285022,91921623.4,19996990.990048893,111918614.39004888,111344.0,44447334.46,63496192.08571429,1.4285714285714286,184780204.89856452,156365948.85004887
4337,Irma – Florida,FL,Flagler County,9203834.08,1949936.9965345543,11153771.076534554,8506209.57,1839004.6185782023,10345214.188578203,9083.0,5244374.3,7491963.285714285,1.4285714285714286,18645734.362248838,15589588.488578204
4337,Irma – Florida,FL,Franklin County,51937.62,11003.5758869257,62941.19588692571,51937.62,10377.579846371982,62315.19984637199,0.0,0.0,0.0,0.0,62941.19588692571,62315.19984637199
4337,Irma – Florida,FL,Gadsden County,514963.26,109100.82730761728,624064.0873076173,480293.23,102894.05538024298,583187.285380243,0.0,0.0,0.0,0.0,624064.0873076173,583187.285380243
4337,Irma – Florida,FL,Gilchrist County,259384.15,54953.48416794452,314337.63416794455,245538.72,51827.16742716218,297365.8874271622,1565.0,560633.03,800904.3285714287,1.4285714285714286,1115241.962739373,857998.9174271622
4337,Irma – Florida,FL,Glades County,1287009.54,272667.61820405594,1559677.158204056,1177141.81,257155.49276983572,1434297.3027698358,1754.0,1054396.8199999998,1506281.1714285712,1.4285714285714286,3065958.3296326273,2488694.1227698354
4337,Irma – Florida,FL,Gulf County,122311.9,25913.168018173877,148225.0680181739,115095.15,24438.961747023932,139534.11174702394,0.0,0.0,0.0,0.0,148225.0680181739,139534.11174702394
4337,Irma – Florida,FL,Hamilton County,706982.36,149782.25896715763,856764.6189671576,651813.24,141261.11074932778,793074.3507493278,619.0,183255.03,261792.9,1.4285714285714286,1118557.5189671575,976329.3807493278
4337,Irma – Florida,FL,Hardee County,8823712.46,1869403.905262156,10693116.365262156,8051390.38,1763053.073958286,9814443.453958286,4057.0,2688152.7800000003,3840218.2571428576,1.4285714285714286,14533334.622405015,12502596.233958285
4337,Irma – Florida,FL,Hendry County,7146294.859999999,1514023.89640413,8660318.75640413,6522689.42,1427890.718045372,7950580.138045372,8124.0,4610569.83,6586528.328571429,1.4285714285714286,15246847.08497556,12561149.968045373
4337,Irma – Florida,FL,Hernando County,3792421.43,803467.6406082582,4595889.070608258,3533414.3,757758.176075785,4291172.476075785,15078.0,6004441.720000001,8577773.885714287,1.4285714285714286,13173662.956322545,10295614.196075786
4337,Irma – Florida,FL,Highlands County,16524277.19,3500856.1816417538,20025133.371641755,15009764.37,3301691.64360647,18311456.01360647,23431.0,9852700.96,14075287.085714288,1.4285714285714286,34100420.45735604,28164156.97360647
4337,Irma – Florida,FL,Hillsborough County,37986975.04,8047972.983116909,46034948.02311691,35453158.89,7590121.892372802,43043280.7823728,129264.0,39167877.73,55954111.04285714,1.4285714285714286,101989059.06597406,82211158.51237279
4337,Irma – Florida,FL,Holmes County,25238.160000000003,5346.991425605809,30585.15142560581,25238.160000000003,5042.799815923632,30280.959815923638,0.0,0.0,0.0,0.0,30585.15142560581,30280.959815923638
4337,Irma – Florida,FL,Indian River County,11920241.6,2525438.844446253,14445680.444446253,10987673.68,2381766.029942167,13369439.709942166,11238.0,4102388.53,5860555.042857143,1.4285714285714286,20306235.487303395,17471828.239942167
4337,Irma – Florida,FL,Jackson County,57860.86,12258.481691937051,70119.34169193705,52811.74,11561.093762666653,64372.83376266665,0.0,0.0,0.0,0.0,70119.34169193705,64372.83376266665
4337,Irma – Florida,FL,Jefferson County,207991.73,44065.41510581272,252057.14510581276,199783.29,41558.52319494121,241341.8131949412,0.0,0.0,0.0,0.0,252057.14510581276,241341.8131949412
4337,Irma – Florida,FL,Lafayette County,122543.9,25962.3198585117,148506.2198585117,116891.64,24485.317327513727,141376.95732751372,971.0,325671.86,465245.51428571425,1.4285714285714286,613751.734144226,467048.8173275137
4337,Irma – Florida,FL,Lake County,19443466.8,4119319.723135569,23562786.52313557,17737933.78,3884970.6476207934,21622904.427620795,38491.0,11726644.63,16752349.471428573,1.4285714285714286,40315135.994564146,33349549.057620794
