state,county,population,d_i,n_i,ia_totalApprovedIhp,fema_per_capita,num_disasters,disaster_list,x_i_maximin,y_i,pct_need_met,per_capita_alloc
PR,Mayaguez,77177.0,46205547.325,598.6958203221168,18482218.93,239.47832812884667,1,[4339],46205547.325,1,100.0,598.6958203221168
PR,Moca,38302.0,34161082.225,891.88768797974,13664432.89,356.755075191896,1,[4339],34161082.225,1,100.0,891.88768797974
PR,Morovis,29862.0,57391254.55000001,1921.8824777308957,22956501.820000004,768.7529910923583,1,[4339],57391254.55,1,99.99999999999997,1921.8824777308953
PR,Naguabo,24369.0,37531414.6,1540.1294513521277,15012565.840000002,616.0517805408512,1,[4339],37531414.6,1,100.0,1540.1294513521277
PR,Naranjito,29656.0,58471889.45,1971.671481319126,23388755.78,788.6685925276504,1,[4339],58471889.45,1,100.0,1971.671481319126
PR,Orocovis,22005.0,48663863.275,2211.49117359691,19465545.31,884.5964694387638,1,[4339],48663863.275,1,100.0,2211.49117359691
PR,Patillas,16912.0,28908951.3,1709.3750768684959,11563580.52,683.7500307473982,1,[4339],28908951.3,1,100.0,1709.3750768684959
PR,Penuelas,21476.0,20748308.475,966.1160586235799,8299323.39,386.4464234494319,1,[4339],20748308.475,1,100.0,966.1160586235799
PR,Ponce,145596.0,128715662.925,884.060433837468,51486265.17,353.6241735349872,1,[4339],94600642.66127795,1,73.49582833318415,649.7475388147885
PR,Quebradillas,24271.0,14598630.5,601.4845082608874,5839452.2,240.593803304355,1,[4339],14598630.5,1,100.0,601.4845082608874
PR,Rincon,15242.0,11417030.4,749.0506757643354,4566812.16,299.62027030573415,1,[4339],11417030.4,1,100.0,749.0506757643354
PR,Rio Grande,49084.0,47450604.125,966.7224375560264,18980241.65,386.68897502241055,1,[4339],47450604.125,1,100.0,966.7224375560264
PR,Sabana Grande,23498.0,6699502.850000001,285.10949229721683,2679801.14,114.04379691888671,1,[4339],0.0,0,0.0,0.0
PR,Salinas,27375.0,58234515.85,2127.2882502283105,23293806.34,850.9153000913242,1,[4339],58234515.85,1,100.0,2127.2882502283105
PR,San German,32917.0,12036672.725,365.6673671659021,4814669.09,146.26694686636085,1,[4339],0.0,0,0.0,0.0
PR,San Juan,356296.0,166218520.275,466.5180644043155,66487408.11,186.6072257617262,2,"[4337, 4339]",166218520.275,1,100.0,466.5180644043155
PR,San Lorenzo,38697.0,32644058.05,843.5811057704732,13057623.22,337.4324423081893,1,[4339],32644058.05,1,100.0,843.5811057704732
PR,San Sebastian,40267.0,28930917.8,718.4771102888221,11572367.12,287.3908441155288,1,[4339],28930917.8,1,100.0,718.4771102888221
PR,Santa Isabel,21161.0,28065373.15,1326.278207551628,11226149.26,530.5112830206511,1,[4339],28065373.15,1,100.0,1326.278207551628
PR,Toa Alta,69211.0,70771951.275,1022.5535142535147,28308780.51,409.02140570140585,1,[4339],70771951.275,1,100.0,1022.5535142535147
PR,Toa Baja,79330.0,139157098.82500002,1754.1547816084712,55662839.53,701.6619126433884,2,"[4336, 4339]",139157098.82500002,1,100.0,1754.1547816084712
PR,Trujillo Alto,69817.0,41147636.1,589.3641391065214,16459054.44,235.74565564260854,1,[4339],41147636.1,1,100.0,589.3641391065214
PR,Utuado,29601.0,46983944.6,1587.2418026418027,18793577.84,634.896721056721,1,[4339],46983944.6,1,100.0,1587.2418026418027
PR,Vega Alta,36691.0,46695427.075,1272.6670593606061,18678170.83,509.0668237442424,1,[4339],46695427.075,1,100.0,1272.6670593606061
PR,Vega Baja,55857.0,71760921.29999998,1284.7256619582145,28704368.52,513.8902647832858,2,"[4336, 4339]",71760921.3,1,100.00000000000003,1284.7256619582147
PR,Vieques,8577.0,26555433.299999997,3096.121406086044,10622173.319999998,1238.4485624344175,2,"[4336, 4339]",26555433.3,1,100.00000000000003,3096.1214060860443
PR,Villalba,23139.0,27335292.85,1181.3515212411946,10934117.14,472.54060849647783,1,[4339],27335292.85,1,100.0,1181.3515212411946
PR,Yabucoa,32375.0,61984764.7,1914.5873266409267,24793905.88,765.8349306563706,1,[4339],61984764.7,1,100.0,1914.5873266409267
PR,Yauco,36307.0,22699279.225,625.203933814416,9079711.69,250.08157352576637,1,[4339],22699279.225,1,100.0,625.203933814416
SC,Cherokee County,56974.0,0.0,0.0,0.0,0.0,1,[4337],0.0,0,,0.0
TX,Aransas County,25421.0,43611157.08571429,1715.5563150825808,30527809.96,1200.8894205578065,1,[4332],43611157.08571429,1,100.0,1715.5563150825808
TX,Austin County,29729.0,1722962.7,57.95562245618756,1206073.89,40.568935719331286,1,[4332],0.0,0,0.0,0.0
TX,Bastrop County,84624.0,1144866.442857143,13.52886229505983,801406.51,9.47020360654188,1,[4332],0.0,0,0.0,0.0
TX,Bee County,32598.0,1224189.3571428573,37.55412470528429,856932.55,26.287887293699,1,[4332],0.0,0,0.0,0.0
TX,Blanco County,11473.0,714.2857142857143,0.06225797213333168,500.0,0.043580580493332174,1,[4337],0.0,0,0.0,0.0
TX,Brazoria County,362261.0,107270550.9714286,296.11399231887674,75089385.68,207.27979462321366,1,[4332],0.0,0,0.0,0.0
TX,Burnet County,46592.0,0.0,0.0,0.0,0.0,1,[4337],0.0,0,,0.0
TX,Caldwell County,42302.0,423322.8000000001,10.007158053992722,296325.96,7.0050106377949035,1,[4332],0.0,0,0.0,0.0
TX,Calhoun County,21716.0,7039526.128571428,324.16311146488437,4927668.29,226.91417802541903,1,[4332],0.0,0,0.0,0.0
