disasterNumber,state,county,ia_totalApprovedIhp,denial_multiplier,d_i,population,n_i,fema_per_capita,x_i,pct_need_met,per_capita_alloc
4332,TX,Lavaca County,140529.28,1.4285714285714286,200756.11428571428,20015.0,10.030283002034189,7.021198101423932,20075.61142857143,10.0,1.0030283002034188
4332,TX,Lee County,293066.43999999994,1.4285714285714286,418666.3428571428,17104.0,24.477686088467188,17.13438026192703,41866.63428571428,10.0,2.4477686088467188
4332,TX,Liberty County,30050158.82,1.4285714285714286,42928798.31428572,83648.0,513.2077074680293,359.2453952276205,28353913.97500284,66.04870177688461,338.967028201545
4332,TX,Matagorda County,5726215.05,1.4285714285714286,8180307.214285715,36848.0,222.00138987966008,155.40097291576205,1784360.338668593,21.812876850791955,48.424889781496766
4332,TX,Montgomery County,39695644.09,1.4285714285714286,56708062.98571429,571542.0,99.21941517108856,69.45359061976198,5670806.298571429,10.0,9.921941517108856
4332,TX,Newton County,4129473.18,1.4285714285714286,5899247.4,13909.0,424.1316701416349,296.89216909914444,3474958.9195263493,58.90512270304767,249.83528071941544
4332,TX,Nueces County,18473120.83,1.4285714285714286,26390172.61428571,361328.0,73.03661109652646,51.12562776756852,2639017.2614285713,10.0,7.303661109652646
4332,TX,Orange County,127268105.94,1.4285714285714286,181811579.9142857,85056.0,2137.551494477588,1496.2860461343114,166997470.1217358,91.85194375433406,1963.3825964274808
4332,TX,Polk County,3167568.47,1.4285714285714286,4525097.814285715,48938.0,92.46593269618118,64.72615288732682,452509.78142857156,10.0,9.24659326961812
4332,TX,Refugio County,5475515.6,1.4285714285714286,7822165.142857143,7178.0,1089.7415913704574,762.8191139593201,6572415.674061249,84.02297259171127,915.6332786376774
4332,TX,Sabine County,119070.66,1.4285714285714286,170100.94285714286,10422.0,16.321333991282177,11.424933793897525,17010.094285714287,10.0,1.6321333991282179
4332,TX,San Jacinto County,8174965.859999999,1.4285714285714286,11678522.657142855,28233.0,413.6479530033244,289.55356710232707,6781803.387629915,58.07073023471857,240.20838690999594
4332,TX,San Patricio County,17198603.05,1.4285714285714286,24569432.92857143,67221.0,365.5023419552138,255.8516393686497,12947186.045594603,52.69631612269941,192.60626955258925
4332,TX,Tyler County,2246071.75,1.4285714285714286,3208673.9285714286,21498.0,149.2545319830416,104.47817238812912,320867.3928571429,10.0,14.925453198304163
4332,TX,Victoria County,13090113.489999998,1.4285714285714286,18700162.12857143,92011.0,203.2383315969985,142.26683211789893,2694860.8243620186,14.410895509,29.288463600678384
4332,TX,Walker County,1685017.24,1.4285714285714286,2407167.4857142856,72764.0,33.08184659604043,23.1572926172283,240716.7485714286,10.0,3.308184659604043
4332,TX,Waller County,4061213.93,1.4285714285714286,5801734.185714286,51736.0,112.1411432216307,78.49880025514149,580173.4185714286,10.0,11.21411432216307
4332,TX,Wharton County,15444374.94,1.4285714285714286,22063392.77142857,41869.0,526.9624966306473,368.87374764145306,14795068.990127401,67.05708928540932,353.3657118662352
4335,VI,St. John,9411084.51,1.4285714285714286,13444406.442857144,4170.0,3224.0782836587878,2256.854798561151,12718904.416016376,94.60368867956815,3050.0969822581237
4335,VI,St. Thomas,31405735.660000004,1.4285714285714286,44865336.65714286,51634.0,868.910730471063,608.237511329744,35923378.568125136,80.06933914850251,695.7310796786059
4336,PR,Canovanas,3390798.31,2.5,8476995.775,44034.0,192.51023697597316,77.00409479038925,847699.5775000001,10.0,19.251023697597315
4336,PR,Catano,346297.02,2.5,865742.55,24532.0,35.29033711071254,14.116134844285016,86574.255,10.0,3.529033711071254
4336,PR,Culebra,750755.33,2.5,1876888.325,1824.0,1028.9957922149122,411.5983168859649,1561563.2991075069,83.1995850955867,856.1202297738524
4336,PR,Dorado,884455.97,2.5,2211139.925,36721.0,60.214589063478655,24.085835625391464,221113.9925,10.0,6.021458906347866
4336,PR,Fajardo,482845.22,2.5,1207113.0499999998,33408.0,36.1324548012452,14.452981920498084,120711.305,10.0,3.613245480124521
4336,PR,Loiza,1357502.2599999998,2.5,3393755.6499999994,25441.0,133.3971011359616,53.35884045438465,339375.56499999994,10.0,13.339710113596162
4336,PR,Luquillo,458914.2100000001,2.5,1147285.525,18432.0,62.244223361545146,24.89768934461806,114728.55249999999,10.0,6.224422336154514
4336,PR,Toa Baja,1542159.56,2.5,3855398.9,79330.0,48.599507122148,19.439802848859195,385539.89,10.0,4.859950712214799
4336,PR,Vega Baja,1264283.69,2.5,3160709.225,55857.0,56.585731868879456,22.634292747551783,316070.92250000004,10.0,5.6585731868879465
4336,PR,Vieques,2472271.59,2.5,6180678.975,8577.0,720.6108167191326,288.24432668765303,4689639.338190685,75.87579547748126,546.7691894824163
4337,FL,Alachua County,7596709.25,1.4285714285714286,10852441.785714284,266501.0,40.72195521110347,28.50536864777243,1085244.1785714284,10.0,4.072195521110347
4337,FL,Baker County,1214777.68,1.4285714285714286,1735396.6857142856,28255.0,61.41910053846348,42.99337037692444,173539.66857142857,10.0,6.141910053846348
4337,FL,Bradford County,2915070.87,1.4285714285714286,4164386.9571428574,27158.0,153.33923547915376,107.33746483540762,416438.6957142858,10.0,15.333923547915376
4337,FL,Brevard County,25854293.06,1.4285714285714286,36934704.37142857,588165.0,62.79650161337137,43.957551129359956,3693470.4371428574,10.0,6.279650161337138
4337,FL,Broward County,106248889.12,1.4285714285714286,151784127.31428573,1935945.0,78.40311956914361,54.882183698400524,15178412.731428573,10.0,7.840311956914361
4337,FL,Charlotte County,5253544.180000001,1.4285714285714286,7505063.114285715,181998.0,41.237063672599234,28.86594457081946,750506.3114285716,10.0,4.123706367259923
4337,FL,Citrus County,4648499.88,1.4285714285714286,6640714.114285714,145619.0,45.603349248969664,31.922344474278766,664071.4114285714,10.0,4.560334924896967
4337,FL,Clay County,9960396.66,1.4285714285714286,14229138.085714286,212381.0,66.99816878964826,46.89871815275378,1422913.8085714288,10.0,6.6998168789648265
4337,FL,Collier County,35752289.04,1.4285714285714286,51074698.62857143,373286.0,136.8245758709714,95.77720310967997,5107469.862857143,10.0,13.682457587097142
4337,FL,Columbia County,2944741.38,1.4285714285714286,4206773.4,70051.0,60.05300994989366,42.037106964925556,420677.3400000001,10.0,6.005300994989366
4337,FL,DeSoto County,3316208.31,1.4285714285714286,4737440.442857144,37159.0,127.4910638837736,89.24374471864151,473744.04428571445,10.0,12.749106388377363
4337,FL,Dixie County,831502.97,1.4285714285714286,1187861.3857142858,16609.0,71.51913936506025,50.063397555542174,118786.13857142859,10.0,7.151913936506026
4337,FL,Duval County,44447334.46,1.4285714285714286,63496192.08571429,939167.0,67.60905364617186,47.326337552320304,6349619.208571429,10.0,6.760905364617186
