disasterNumber,state,county_clean,owner_validRegistrations,owner_totalDamage,owner_approved,owner_totalApprovedIhp,owner_repairReplaceAmount,owner_rentalAmount,renter_validRegistrations,renter_approved,renter_totalApprovedIhp,renter_repairReplaceAmount,renter_rentalAmount,renter_otherNeedsAmount,ia_totalApprovedIhp,ia_validRegistrations,ia_owner_totalDamage
4337,FL,Dixie County,1344.0,600229.4,466.0,673371.77,262051.4,219266.0,578.0,187.0,158131.2,0.0,76930.0,81201.20000000001,831502.97,1922.0,600229.4
4337,FL,Duval County,44836.0,22464378.68,13114.0,23221151.21,11184306.43,6813814.77,66508.0,21011.0,21226183.25,1000.0,11052127.0,10082617.63,44447334.46,111344.0,22464378.68
4337,FL,Flagler County,5476.0,4742478.1,1399.0,3834593.01,2225748.34,1086536.73,3607.0,1140.0,1409781.29,0.0,850224.0,531598.48,5244374.3,9083.0,4742478.1
4337,FL,Gilchrist County,1068.0,291017.0,283.0,420067.53,142856.0,185345.0,497.0,139.0,140565.5,0.0,74040.0,66525.5,560633.03,1565.0,291017.0
4337,FL,Glades County,1251.0,999429.9,377.0,861559.5499999999,473434.16,224392.0,503.0,175.0,192837.27,0.0,97788.0,93287.5,1054396.8199999998,1754.0,999429.9
4337,FL,Hamilton County,447.0,197484.8,86.0,168435.0,100589.0,62605.0,172.0,17.0,14820.03,0.0,11904.0,2842.64,183255.03,619.0,197484.8
4337,FL,Hardee County,2461.0,2511878.65,812.0,2161339.5,1403404.53,398597.0,1596.0,586.0,526813.28,0.0,252816.0,273831.54,2688152.7800000003,4057.0,2511878.65
4337,FL,Hendry County,4980.0,3651361.19,1636.0,3529381.95,1899695.3,848902.0,3144.0,1044.0,1081187.88,0.0,472271.0,606987.0800000001,4610569.83,8124.0,3651361.19
4337,FL,Hernando County,9055.0,2771776.5,2686.0,4155905.49,1546593.17,1658050.0,6023.0,1822.0,1848536.23,0.0,1090419.0,751362.6,6004441.720000001,15078.0,2771776.5
4337,FL,Highlands County,14989.0,6893766.5,3946.0,6550275.34,3239234.14,1749116.55,8442.0,3124.0,3302425.62,499.5,1605231.0,1681780.42,9852700.96,23431.0,6893766.5
4337,FL,Hillsborough County,48309.0,10160458.65,13206.0,16741507.72,5237297.61,6533208.0,80955.0,23903.0,22426370.01,1000.0,12031094.33,10359327.87,39167877.730000004,129264.0,10160458.65
4337,FL,Indian River County,5980.0,2525670.3,1616.0,2536433.21,1297397.96,592248.0,5258.0,1541.0,1565955.3199999998,0.0,758353.36,796308.2,4102388.53,11238.0,2525670.3
4337,FL,Lafayette County,641.0,88989.34999999999,214.0,223231.78,59235.85,111520.0,330.0,124.0,102440.08,0.0,65336.0,36636.3,325671.86,971.0,88989.34999999999
4337,FL,Lake County,22669.0,5658509.22,5114.0,7018644.47,2335894.33,2944314.0,15822.0,4670.0,4708000.16,0.0,2815203.0,1884545.44,11726644.629999999,38491.0,5658509.22
4337,FL,Lee County,64350.0,26985038.01,18112.0,29705176.84,13382095.24,9456935.5,60884.0,21237.0,21766332.9,15000.0,12425759.0,9225690.88,51471509.739999995,125234.0,26985038.01
4337,FL,Levy County,2742.0,591259.52,873.0,924351.39,300728.82,363180.0,1541.0,459.0,361133.85,0.0,190888.0,168721.1,1285485.24,4283.0,591259.52
4337,FL,Manatee County,14894.0,3605750.0,3825.0,5215581.03,1717795.81,2117579.0,15927.0,5151.0,5183864.79,0.0,3000671.0,2173413.52,10399445.82,30821.0,3605750.0
4337,FL,Marion County,26894.0,7410532.64,8874.0,12122674.85,3991674.76,5442272.0,21741.0,7267.0,6835214.8,0.0,4035203.0,2791188.0,18957889.65,48635.0,7410532.64
4337,FL,Martin County,4578.0,1050179.7,1057.0,1581441.8,612092.0,566081.0,3641.0,985.0,1027292.29,0.0,582889.0,441852.02,2608734.09,8219.0,1050179.7
4337,FL,Miami-Dade County,221357.0,50795935.48,62622.0,86917623.06,21583615.25,43701621.5,374677.0,116067.0,136382075.56,1000.0,89893223.0,46276086.2,223299698.62,596034.0,50795935.48
4337,FL,Monroe County,19444.0,57457912.52,8091.0,46591490.85,29494181.65,11819720.6,20035.0,8633.0,20273727.05,10000.0,13639057.4,6372568.57,66865217.900000006,39479.0,57457912.52
4337,FL,Nassau County,4292.0,2139081.71,1217.0,2302129.27,1109164.1,781415.0,2099.0,631.0,708800.5700000001,0.0,432775.0,272493.1,3010929.84,6391.0,2139081.71
