disasterNumber,disaster_label,stateAbbreviation,county,named_projectAmount,distributed_statewide_amt,adjusted_projectAmount,named_totalObligated,distributed_statewide_obl,adjusted_totalObligated
4337,Irma – Florida,FL,St. Johns County,32372246.39,6858428.818698692,39230675.20869869,29490217.080000002,6468251.177444252,35958468.257444255
4337,Irma – Florida,FL,St. Lucie County,15620024.72,3309280.0047860374,18929304.72478604,14370816.96,3121014.280864317,17491831.240864318
4337,Irma – Florida,FL,Sumter County,30018339.57,6359726.869617814,36378066.43961781,27539812.22,5997920.500461564,33537732.720461562
4337,Irma – Florida,FL,Suwannee County,3037588.97,643547.7933852857,3681136.7633852856,2769131.02,606936.2068695837,3376067.2268695836
4337,Irma – Florida,FL,Taylor County,387409.51,82077.11371067255,469486.62371067255,355870.66,77407.72725567411,433278.3872556741
4337,Irma – Florida,FL,Union County,235250.21,49840.434316208695,285090.64431620867,215658.92,47005.00019351631,262663.9201935163
4337,Irma – Florida,FL,Volusia County,51124845.589999996,10831380.378171423,61956225.96817142,46674915.85,10215180.58092888,56890096.430928886
4337,Irma – Florida,FL,Wakulla County,105931.02,22442.692163203556,128373.71216320356,102768.42,21165.922086103048,123934.34208610305
4337,Irma – Florida,FL,Walton County,68774.42,14570.643582615081,83345.06358261508,68774.42,13741.716215296776,82516.13621529678
4337,Irma – Florida,FL,Washington County,34054.22,7214.774070126105,41268.99407012611,33315.0,6804.323863047974,40119.323863047975
4338,Irma – Georgia,GA,Appling County,473086.82,72474.03120345918,545560.8512034592,374464.11,63333.678653604424,437797.7886536044
4338,Irma – Georgia,GA,Atkinson County,89187.37,13662.964096810936,102850.33409681093,70801.90000000001,11939.804688577286,82741.7046885773
4338,Irma – Georgia,GA,Bacon County,3487370.1599999997,534243.9550394838,4021614.1150394836,2619088.98,466865.6401368548,3085954.6201368547
4338,Irma – Georgia,GA,Baker County,55648.200000000004,8524.966692617514,64173.16669261752,43749.59,7449.806393785204,51199.3963937852
4338,Irma – Georgia,GA,Baldwin County,493935.05,75667.8535795653,569602.9035795652,409430.86,66124.69933626988,475555.55933626986
4338,Irma – Georgia,GA,Banks County,1404406.89,215146.61678423642,1619553.5067842363,1057679.78,188012.54000305475,1245692.3200030548
4338,Irma – Georgia,GA,Barrow County,175899.62,26946.754823050473,202846.37482305046,147352.17,23548.25697399714,170900.42697399715
4338,Irma – Georgia,GA,Ben Hill County,393797.26,60327.351561129355,454124.61156112934,312400.25,52718.926136031245,365119.1761360312
4338,Irma – Georgia,GA,Berrien County,154323.92,23641.488455586517,177965.40845558653,129659.9,20659.84750504053,150319.74750504052
4338,Irma – Georgia,GA,Bibb County,3091086.9899999998,473535.77714523237,3564622.7671452323,2421797.06,413813.91710510413,2835610.9771051044
4338,Irma – Georgia,GA,Bleckley County,105738.87,16198.553499754047,121937.42349975405,85859.7,14155.608084315798,100015.3080843158
4338,Irma – Georgia,GA,Brantley County,2685544.27,411409.0923569821,3096953.362356982,2023911.75,359522.5878543999,2383434.3378544
4338,Irma – Georgia,GA,Brooks County,459609.0,70409.31093237952,530018.3109323796,372461.33999999997,61529.358844333205,433990.6988443332
4338,Irma – Georgia,GA,Bryan County,513017.87999999995,78591.22738412468,591609.1073841247,404430.97000000003,68679.38015156158,473110.3501515616
4338,Irma – Georgia,GA,Bulloch County,1377902.6600000001,211086.32951594258,1588988.9895159428,1074168.73,184464.33211643217,1258633.0621164322
4338,Irma – Georgia,GA,Burke County,24498.93,3753.0874719176536,28252.017471917654,18374.2,3279.7518222493472,21653.95182224935
4338,Irma – Georgia,GA,Butts County,1787785.63,273877.9142773749,2061663.5442773749,1356689.1,239336.70481868787,1596025.804818688
4338,Irma – Georgia,GA,Camden County,3436165.47,526399.7071257004,3962565.1771257007,2621660.86,460010.70094827755,3081671.5609482774
4338,Irma – Georgia,GA,Candler County,1789507.81,274141.74180708284,2063649.551807083,1352926.93,239567.25868341755,1592494.1886834174
