disasterNumber,state,county_clean,validRegistrations,totalDamage,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount
4339,PR,Florida,3170,5783263.9399999995,1524,5550884.21,3062714.23,559091.0
4339,PR,Guanica,4397,4875842.3,1763,3844866.56,1984380.48,302374.0
4339,PR,Guayama,9508,33639125.36,4605,22756898.470000003,14369509.94,1565113.14
4339,PR,Guayanilla,5092,7802001.59,2064,5866377.49,3099998.99,531663.0
4339,PR,Guaynabo,19098,23818053.47,6754,17905868.86,9958567.82,2296501.0
4339,PR,Gurabo,10041,16383698.160000002,3875,10676588.600000001,5844448.8,1052866.0
4339,PR,Hatillo,8568,15513646.68,3349,11936760.479999999,7062233.85,795925.0
4339,PR,Hormigueros,3735,2270447.3,1252,2235019.84,943220.2599999999,207147.0
4339,PR,Humacao,14084,41275428.589999996,7325,27896362.799999997,15613674.62,2371455.61
4339,PR,Isabela,9435,14456215.54,3322,11649673.870000001,6921821.62,895635.94
4339,PR,Jayuya,3541,11557395.87,1692,8379117.45,5496778.300000001,648868.0
4339,PR,Juana Diaz,12584,28532607.09,5805,20095913.580000002,11620553.23,1707687.48
4339,PR,Juncos,9855,19961434.01,4565,14222641.790000001,7794830.119999999,1236892.0
4339,PR,Lajas,5805,4188365.7299999995,1953,4005237.5999999996,1916407.3599999999,303249.0
4339,PR,Lares,5965,7769137.539999999,2179,7158988.890000001,3978495.1500000004,616705.51
4339,PR,Las Marias,2102,4718227.0,878,3135150.9599999995,1770953.19,266406.0
4339,PR,Las Piedras,9182,18703440.919999998,4351,13105513.78,7600248.41,1261693.29
4339,PR,Loiza,5956,16211743.799999999,3325,11718201.129999999,5758405.02,1398342.0
4339,PR,Luquillo,4486,5739194.53,1744,4259371.369999999,2221592.45,398613.0
4339,PR,Manati,9575,16847881.68,4282,13792108.41,7467041.72,1476764.57
4339,PR,Maricao,1235,3438253.8000000003,596,2312938.88,1290320.45,191375.0
4339,PR,Maunabo,2931,13200417.33,1767,7937304.43,4850833.34,561026.0
4339,PR,Mayaguez,14307,15351756.31,5097,14510854.430000002,6646935.01,1509476.0
4339,PR,Moca,8603,15054441.71,3310,12258746.02,6830095.8100000005,966312.0
4339,PR,Morovis,7588,28258991.849999998,4152,20685805.300000004,12335189.11,1828536.46
4339,PR,Naguabo,6183,19898910.330000002,3194,12679800.209999999,7322697.149999999,1025675.0
4339,PR,Naranjito,7412,30774505.73,4216,20932951.73,12623734.489999998,1991382.52
4339,PR,Orocovis,6066,25904328.369999997,3723,17439625.849999998,10499409.000000002,1281871.08
4339,PR,Patillas,4708,15554511.719999999,2362,10393775.55,6236337.800000001,765777.0
4339,PR,Penuelas,5046,9379707.100000001,2185,7482338.27,4300909.93,608747.0
4339,PR,Ponce,33100,63020912.8,14418,43981285.97,25616812.87,4695538.01
4339,PR,Quebradillas,5843,5170047.81,1992,5007928.0200000005,2501720.34,458860.0
4339,PR,Rincon,3587,4927179.89,1411,4080050.04,2190686.6700000004,395847.0
4339,PR,Rio Grande,12001,23558824.429999996,5226,16297565.01,8721639.84,1819710.0
4339,PR,Sabana Grande,5834,2078937.8599999999,1518,2260199.43,949909.8799999999,163581.0
4339,PR,Salinas,7946,33087412.72,4275,20909365.529999997,12840767.75,1492769.71
4339,PR,San German,7340,4458950.83,2434,3998948.0,1933372.6900000002,285756.0
4339,PR,San Juan,58672,56132842.38,19913,40788480.37,20382167.99,6588278.01
4339,PR,San Lorenzo,9043,17374266.669999998,3892,11372160.02,6494963.05,985490.0
4339,PR,San Sebastian,8433,10803402.559999999,2969,9903842.92,5290798.65,768315.0
4339,PR,Santa Isabel,5810,14366652.139999999,2760,9349924.57,4807768.1,685913.0
4339,PR,Statewide,1,0.0,0,0.0,0.0,0.0
4339,PR,Toa Alta,16509,44267170.4,6438,25696021.709999997,15718755.82,2462852.13
4339,PR,Toa Baja,19854,58156040.84,9834,44903132.86,21442764.9,4894967.86
4339,PR,Trujillo Alto,14246,18133672.5,5181,12901848.74,6973126.490000001,1730390.0
4339,PR,Utuado,7349,21554673.509999998,3693,16064386.69,9735207.98,1251092.26
4339,PR,Vega Alta,8144,21044491.8,3770,16829798.77,9533060.309999999,1895885.3
4339,PR,Vega Baja,14203,29624868.62,6378,23685664.7,12334614.63,2717546.2
4339,PR,Vieques,2004,19063795.380000003,1252,7469722.88,5340914.649999999,403258.0
4339,PR,Villalba,6117,12738708.5,2919,9856944.39,5589881.32,827934.0
4339,PR,Yabucoa,8882,34063729.81,5374,22464040.77,13254128.469999999,1973120.16
4339,PR,Yauco,10196,9173340.77,3570,7746961.550000001,3637633.9899999998,621424.0
4340,VI,St. Croix County,9569,34750863.16,4655,22078511.77,13592675.66,4173149.0
4340,VI,St. John County,340,3202542.4800000004,163,2937410.3600000003,2669348.31,171437.0
4340,VI,St. Thomas County,2277,5985819.16,730,4645916.93,3311744.66,716932.6799999999
4341,FL,Big Cypress Indian Reservation,92,21609.99,2,9334.6,7202.6,2132.0
4341,FL,Brighton Indian Reservation,51,860.94,1,340.32,340.32,0.0
4341,FL,Fort Pierce Indian Reservation,27,19.53,0,0.0,0.0,0.0
4341,FL,Hollywood Indian Reservation,104,769.07,0,0.0,0.0,0.0
4341,FL,Immokalee Indian Reservation,37,3268.79,0,0.0,0.0,0.0
4341,FL,Tampa Reservation,148,61.6,0,0.0,0.0,0.0
