disasterNumber,state,county,ia_totalApprovedIhp,denial_multiplier,d_i,population,n_i,ia_validRegistrations,adjusted_applicants,fema_per_capita,fema_per_applicant
4337,FL,Okeechobee County,2199480.82,1.4285714285714286,3142115.457142857,41248.0,418.5501084681256,5255.0,7507.142857142857,53.32333252521334,292.9850759276879
4337,FL,Orange County,47857927.81,1.4285714285714286,68368468.30000001,1357720.0,294.65175782837304,162422.0,232031.42857142858,35.24874628789441,206.2562304798611
4337,FL,Osceola County,10793412.12,1.4285714285714286,15419160.17142857,353306.0,295.49133846195963,36527.0,52181.42857142857,30.549756075469986,206.84393692337173
4337,FL,Palm Beach County,56678065.39,1.4285714285714286,80968664.84285715,1470583.0,358.5381253281546,158081.0,225830.0,38.54122167194915,250.9766877297082
4337,FL,Pasco County,16644296.58,1.4285714285714286,23777566.542857144,525533.0,350.2956241186993,47515.0,67878.57142857143,31.67126817916287,245.20693688308953
4337,FL,Pinellas County,45827196.75,1.4285714285714286,65467423.92857143,968886.0,315.9995086986202,145023.0,207175.7142857143,47.29885327066342,221.19965608903414
4337,FL,Polk County,40187301.0,1.4285714285714286,57410430.0,685790.0,390.7863998366347,102837.0,146910.0,58.60001020720629,273.5504798856443
4337,FL,Putnam County,6766261.58,1.4285714285714286,9666087.971428571,73418.0,483.2698792943361,14001.0,20001.428571428572,92.16079953145005,338.28891550603527
4337,FL,Sarasota County,10364330.25,1.4285714285714286,14806186.07142857,420073.0,338.71467204810614,30599.0,43712.857142857145,24.672688437485867,237.1002704336743
4337,FL,Seminole County,20161483.53,1.4285714285714286,28802119.32857143,463052.0,353.9648436594744,56959.0,81370.0,43.54043072916217,247.77539056163207
4337,FL,St. Johns County,6491986.11,1.4285714285714286,9274265.871428572,244067.0,525.9224003564485,12344.0,17634.285714285714,26.59919657307215,368.145680249514
4337,FL,St. Lucie County,12439541.44,1.4285714285714286,17770773.485714287,313207.0,378.35456657947566,32878.0,46968.57142857143,39.716677596605436,264.84819660563295
4337,FL,Sumter County,2803720.93,1.4285714285714286,4005315.6142857145,125298.0,395.94985595254906,7081.0,10115.714285714286,22.3764220498332,277.1648991667844
4337,FL,Suwannee County,1622039.5699999998,1.4285714285714286,2317199.3857142855,44125.0,312.47150260065496,5191.0,7415.714285714286,36.760103569405096,218.73005182045844
