state,county,population,applicants,d_i,n_i,ia_totalApprovedIhp,fema_per_applicant,num_disasters,disaster_list,x_i_utilitarian,y_i,pct_need_met,per_applicant_alloc
GA,McIntosh County,14092.0,1552.0,899063.8428571428,579.2937131811487,629344.69,405.50559922680407,1,[4338],0.0,0,0.0,0.0
PR,Adjuntas,18503.0,5668.0,29916677.125,5278.171687544107,11966670.85,2111.2686750176426,1,[4339],29916677.125,1,100.0,5278.171687544107
PR,Aguada,39260.0,12603.0,46281740.875,3672.279685392367,18512696.35,1468.9118741569469,1,[4339],46281740.875,1,100.0,3672.279685392367
PR,Aguadilla,56765.0,17500.0,40633246.6,2321.899805714286,16253298.64,928.7599222857143,1,[4339],0.0,0,0.0,0.0
PR,Aguas Buenas,25515.0,8043.0,31362651.125,3899.3722647022255,12545060.45,1559.74890588089,1,[4339],31362651.125,1,100.0,3899.3722647022255
PR,Aibonito,25030.0,8216.0,43323548.2,5273.0706183057455,17329419.28,2109.228247322298,1,[4339],43323548.2,1,100.0,5273.0706183057455
PR,Anasco,26645.0,9114.0,42565419.97500001,4670.333550032918,17026167.990000002,1868.1334200131669,2,"[4337, 4339]",42565419.97500001,1,100.0,4670.333550032918
PR,Arecibo,90083.0,29859.0,102470845.35,3431.8244197729327,40988338.14,1372.7297679091732,1,[4339],102470845.35,1,100.0,3431.8244197729327
PR,Arroyo,16888.0,5913.0,24219554.725,4095.984225435481,9687821.89,1638.3936901741927,1,[4339],24219554.725,1,100.0,4095.984225435481
PR,Barceloneta,23364.0,8321.0,31443718.8,3778.838937627689,12577487.52,1511.5355750510755,1,[4339],31443718.8,1,100.0,3778.838937627689
PR,Barranquitas,29466.0,9848.0,54056463.975,5489.08041988221,21622585.59,2195.6321679528837,1,[4339],54056463.975,1,100.0,5489.08041988221
PR,Bayamon,191556.0,63254.0,122425757.1,1935.4626916874822,48970302.84,774.185076674993,1,[4339],0.0,0,0.0,0.0
PR,Cabo Rojo,48455.0,14291.0,16892577.975,1182.0431023021483,6757031.19,472.8172409208593,1,[4339],0.0,0,0.0,0.0
